[2020-11-04T21:41:26.071+0300][0.001s][info][gc] Min heap equals to max heap, disabling ShenandoahUncommit
[2020-11-04T21:41:26.076+0300][0.005s][info][gc] Using Shenandoah
[2020-11-04T21:41:26.076+0300][0.005s][info][gc] Heuristics ergonomically sets -XX:+ExplicitGCInvokesConcurrent
[2020-11-04T21:41:26.076+0300][0.005s][info][gc] Heuristics ergonomically sets -XX:+ShenandoahImplicitGCInvokesConcurrent
[2020-11-04T21:41:26.301+0300][0,231s][info][gc] Trigger: Explicit GC request (System.gc())
[2020-11-04T21:41:27.177+0300][1,107s][info][gc] Trigger: Average GC time (29,78 ms) is above the time for allocation rate (2095 MB/s) to deplete free headroom (61722K)
[2020-11-04T21:41:27.178+0300][1,108s][info][gc] GC(7) Concurrent reset 0,674ms
[2020-11-04T21:41:27.179+0300][1,109s][info][gc] GC(7) Pause Init Mark (unload classes) 0,382ms
[2020-11-04T21:41:27.204+0300][1,134s][info][gc] GC(7) Concurrent marking (unload classes) 25,128ms
[2020-11-04T21:41:27.205+0300][1,135s][info][gc] GC(7) Pause Final Mark (unload classes) 0,660ms
[2020-11-04T21:41:27.205+0300][1,135s][info][gc] GC(7) Concurrent weak roots 0,404ms
[2020-11-04T21:41:27.205+0300][1,135s][info][gc] GC(7) Concurrent cleanup 425M->425M(512M) 0,031ms
[2020-11-04T21:41:27.206+0300][1,136s][info][gc] GC(7) Concurrent class unloading 0,758ms
[2020-11-04T21:41:27.206+0300][1,136s][info][gc] GC(7) Concurrent strong roots 0,160ms
[2020-11-04T21:41:27.220+0300][1,150s][info][gc] GC(7) Concurrent evacuation 13,336ms
[2020-11-04T21:41:27.220+0300][1,150s][info][gc] GC(7) Pause Init Update Refs 0,024ms
[2020-11-04T21:41:27.240+0300][1,169s][info][gc] GC(7) Concurrent update references 19,476ms
[2020-11-04T21:41:27.240+0300][1,170s][info][gc] GC(7) Pause Final Update Refs 0,334ms
[2020-11-04T21:41:27.240+0300][1,170s][info][gc] GC(7) Concurrent cleanup 484M->114M(512M) 0,156ms
[2020-11-04T21:41:27.342+0300][1,272s][info][gc] Trigger: Average GC time (37,93 ms) is above the time for allocation rate (2070 MB/s) to deplete free headroom (79898K)
[2020-11-04T21:41:27.343+0300][1,273s][info][gc] GC(8) Concurrent reset 0,750ms
[2020-11-04T21:41:27.344+0300][1,273s][info][gc] GC(8) Pause Init Mark (unload classes) 0,176ms
[2020-11-04T21:41:27.374+0300][1,304s][info][gc] GC(8) Concurrent marking (unload classes) 30,847ms
[2020-11-04T21:41:27.375+0300][1,305s][info][gc] GC(8) Pause Final Mark (unload classes) 0,483ms
[2020-11-04T21:41:27.376+0300][1,306s][info][gc] GC(8) Concurrent weak roots 0,473ms
[2020-11-04T21:41:27.376+0300][1,306s][info][gc] GC(8) Concurrent cleanup 408M->408M(512M) 0,034ms
[2020-11-04T21:41:27.377+0300][1,306s][info][gc] GC(8) Concurrent class unloading 0,879ms
[2020-11-04T21:41:27.377+0300][1,307s][info][gc] GC(8) Concurrent strong roots 0,134ms
[2020-11-04T21:41:27.390+0300][1,320s][info][gc] GC(8) Concurrent evacuation 13,335ms
[2020-11-04T21:41:27.391+0300][1,320s][info][gc] GC(8) Pause Init Update Refs 0,011ms
[2020-11-04T21:41:27.412+0300][1,342s][info][gc] GC(8) Concurrent update references 21,355ms
[2020-11-04T21:41:27.412+0300][1,342s][info][gc] GC(8) Pause Final Update Refs 0,159ms
[2020-11-04T21:41:27.413+0300][1,342s][info][gc] GC(8) Concurrent cleanup 471M->129M(512M) 0,140ms
[2020-11-04T21:41:27.506+0300][1,436s][info][gc] Trigger: Average GC time (47,34 ms) is above the time for allocation rate (1947 MB/s) to deplete free headroom (93210K)
[2020-11-04T21:41:27.506+0300][1,436s][info][gc] GC(9) Concurrent reset 0,666ms
[2020-11-04T21:41:27.507+0300][1,437s][info][gc] GC(9) Pause Init Mark (unload classes) 0,124ms
[2020-11-04T21:41:27.540+0300][1,470s][info][gc] GC(9) Concurrent marking (unload classes) 33,190ms
[2020-11-04T21:41:27.541+0300][1,471s][info][gc] GC(9) Pause Final Mark (unload classes) 0,599ms
[2020-11-04T21:41:27.541+0300][1,471s][info][gc] GC(9) Concurrent weak roots 0,415ms
[2020-11-04T21:41:27.542+0300][1,471s][info][gc] GC(9) Concurrent cleanup 394M->394M(512M) 0,033ms
[2020-11-04T21:41:27.542+0300][1,472s][info][gc] GC(9) Concurrent class unloading 0,698ms
[2020-11-04T21:41:27.542+0300][1,472s][info][gc] GC(9) Concurrent strong roots 0,087ms
[2020-11-04T21:41:27.550+0300][1,480s][info][gc] GC(9) Concurrent evacuation 8,038ms
[2020-11-04T21:41:27.551+0300][1,481s][info][gc] GC(9) Pause Init Update Refs 0,023ms
[2020-11-04T21:41:27.572+0300][1,502s][info][gc] GC(9) Concurrent update references 20,894ms
[2020-11-04T21:41:27.572+0300][1,502s][info][gc] GC(9) Pause Final Update Refs 0,135ms
[2020-11-04T21:41:27.573+0300][1,502s][info][gc] GC(9) Concurrent cleanup 460M->142M(512M) 0,156ms
[2020-11-04T21:41:27.651+0300][1,581s][info][gc] Trigger: Average GC time (56,03 ms) is above the time for allocation rate (1994 MB/s) to deplete free headroom (110M)
[2020-11-04T21:41:27.652+0300][1,582s][info][gc] GC(10) Concurrent reset 0,753ms
[2020-11-04T21:41:27.652+0300][1,582s][info][gc] GC(10) Pause Init Mark (process weakrefs) (unload classes) 0,182ms
[2020-11-04T21:41:27.712+0300][1,642s][info][gc] GC(10) Concurrent marking (process weakrefs) (unload classes) 59,564ms
[2020-11-04T21:41:27.712+0300][1,642s][info][gc] GC(10) Concurrent precleaning 0,166ms
[2020-11-04T21:41:27.713+0300][1,643s][info][gc] GC(10) Pause Final Mark (process weakrefs) (unload classes) 0,467ms
[2020-11-04T21:41:27.713+0300][1,643s][info][gc] GC(10) Concurrent weak roots 0,465ms
[2020-11-04T21:41:27.713+0300][1,643s][info][gc] GC(10) Concurrent cleanup 377M->377M(512M) 0,032ms
[2020-11-04T21:41:27.714+0300][1,644s][info][gc] GC(10) Concurrent class unloading 0,646ms
[2020-11-04T21:41:27.714+0300][1,644s][info][gc] GC(10) Concurrent strong roots 0,167ms
[2020-11-04T21:41:27.722+0300][1,652s][info][gc] GC(10) Concurrent evacuation 7,659ms
[2020-11-04T21:41:27.722+0300][1,652s][info][gc] GC(10) Pause Init Update Refs 0,010ms
[2020-11-04T21:41:27.745+0300][1,675s][info][gc] GC(10) Concurrent update references 22,528ms
[2020-11-04T21:41:27.745+0300][1,675s][info][gc] GC(10) Pause Final Update Refs 0,184ms
[2020-11-04T21:41:27.746+0300][1,675s][info][gc] GC(10) Concurrent cleanup 443M->153M(512M) 0,140ms
[2020-11-04T21:41:27.820+0300][1,750s][info][gc] Trigger: Average GC time (69,83 ms) is above the time for allocation rate (1647 MB/s) to deplete free headroom (113M)
[2020-11-04T21:41:27.820+0300][1,750s][info][gc] GC(11) Concurrent reset 0,568ms
[2020-11-04T21:41:27.821+0300][1,751s][info][gc] GC(11) Pause Init Mark (unload classes) 0,105ms
[2020-11-04T21:41:27.859+0300][1,789s][info][gc] GC(11) Concurrent marking (unload classes) 38,202ms
[2020-11-04T21:41:27.860+0300][1,790s][info][gc] GC(11) Pause Final Mark (unload classes) 0,540ms
[2020-11-04T21:41:27.860+0300][1,790s][info][gc] GC(11) Concurrent weak roots 0,386ms
[2020-11-04T21:41:27.860+0300][1,790s][info][gc] GC(11) Concurrent cleanup 371M->371M(512M) 0,033ms
[2020-11-04T21:41:27.861+0300][1,791s][info][gc] GC(11) Concurrent class unloading 0,817ms
[2020-11-04T21:41:27.861+0300][1,791s][info][gc] GC(11) Concurrent strong roots 0,079ms
[2020-11-04T21:41:27.872+0300][1,801s][info][gc] GC(11) Concurrent evacuation 10,151ms
[2020-11-04T21:41:27.872+0300][1,802s][info][gc] GC(11) Pause Init Update Refs 0,020ms
[2020-11-04T21:41:27.899+0300][1,829s][info][gc] GC(11) Concurrent update references 27,066ms
[2020-11-04T21:41:27.900+0300][1,829s][info][gc] GC(11) Pause Final Update Refs 0,207ms
[2020-11-04T21:41:27.900+0300][1,830s][info][gc] GC(11) Concurrent cleanup 429M->152M(512M) 0,146ms
[2020-11-04T21:41:27.969+0300][1,899s][info][gc] Trigger: Average GC time (75,00 ms) is above the time for allocation rate (1716 MB/s) to deplete free headroom (127M)
[2020-11-04T21:41:27.969+0300][1,899s][info][gc] GC(12) Concurrent reset 0,616ms
[2020-11-04T21:41:27.970+0300][1,900s][info][gc] GC(12) Pause Init Mark (unload classes) 0,152ms
[2020-11-04T21:41:28.009+0300][1,939s][info][gc] GC(12) Concurrent marking (unload classes) 38,948ms
[2020-11-04T21:41:28.010+0300][1,939s][info][gc] GC(12) Pause Final Mark (unload classes) 0,444ms
[2020-11-04T21:41:28.010+0300][1,940s][info][gc] GC(12) Concurrent weak roots 0,355ms
[2020-11-04T21:41:28.010+0300][1,940s][info][gc] GC(12) Concurrent cleanup 358M->359M(512M) 0,033ms
[2020-11-04T21:41:28.011+0300][1,941s][info][gc] GC(12) Concurrent class unloading 0,897ms
[2020-11-04T21:41:28.011+0300][1,941s][info][gc] GC(12) Concurrent strong roots 0,130ms
